Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
2.4,0,59.98,86.12188,1.0106431323207,-87.87234,1.01575550272225,-0.0015,59.97919,-70.77697,2.65651280400851,-78.3585,1.04192225722092,-0.00203,59.97916,121.15554,0.605082092523041,22.89368,1.02112546749779
2.433,-0.01,59.979,86.06467,1.00620280183709,-88.11681,1.01573434102753,-0.00314,59.97909,-70.99186,2.65551936461719,-78.61132,1.04172147307168,0.00013,59.97898,121.11523,0.605725482714097,22.6419,1.02110101008691
2.467,0,59.98,85.80218,1.00618648851656,-88.36127,1.01572378189356,0.00338,59.98074,-71.25697,2.65704672166032,-78.84724,1.04185043148374,0.00332,59.97931,121.0518,0.60612716088483,22.39185,1.02106447882598
2.5,0,59.98,85.52467,1.00911697039262,-88.59427,1.01572381116271,-0.00071,59.98074,-71.51653,2.6585427069332,-79.07638,1.0419467548957,0.00347,59.97954,120.93707,0.606343416954434,22.1455,1.02105231746971
2.533,0,59.98,85.29867,1.00912653131308,-88.84064,1.01570268350655,-0.00467,59.97993,-71.74216,2.65833625080707,-79.31572,1.04185628009217,0.00318,59.97979,120.78264,0.60658853505267,21.90154,1.02107340827586
2.567,0,59.979,85.11274,1.00767894820002,-89.07747,1.01571321809058,0.009,59.98069,-71.98344,2.65898304707603,-79.55059,1.04189577426448,0.00678,59.98029,120.58755,0.606806524039108,21.66287,1.02109397715736
2.6,0.01,59.98,84.8166,1.01208019842125,-89.31047,1.01574493891928,0.01198,59.98108,-72.23585,2.66033490147301,-79.77767,1.04201006652377,0.00838,59.98038,120.37678,0.606958184139869,21.42744,1.0210892433872
2.633,0,59.979,84.59461,1.01132022475636,-89.54538,1.01570268355675,0.00034,59.98079,-72.47281,2.66100213420946,-80.00744,1.04204091208945,0.00633,59.98036,120.15479,0.607177009706847,21.19154,1.02107285929106
2.667,0,59.98,84.29888,1.01280557350523,-89.79175,1.01567096589093,0.00435,59.98147,-72.71641,2.66242019798061,-80.2326,1.04212195022835,0.00824,59.98092,119.86646,0.607366256176158,20.95975,1.02108066592017
2.7,0,59.98,84.05401,1.01498612068289,-90.02284,1.0156709862237,0.0142,59.9823,-72.96579,2.66490520071909,-80.44665,1.04222598683909,0.00871,59.98124,119.52853,0.607348927007828,20.73373,1.02108298480987
2.733,0.01,59.981,83.83064,1.01939746962636,-90.24629,1.01567096006723,0.0038,59.98132,-73.17913,2.66594985079061,-80.66678,1.04208602930195,0.00414,59.98098,119.2166,0.607246087357154,20.50674,1.0210824706167
2.767,0,59.98,83.75481,1.02007653400187,-90.48121,1.01562867864863,-0.00647,59.98,-73.37907,2.66506982781822,-80.90387,1.04188133162158,0.00307,59.98089,118.90337,0.60703275931944,20.27749,1.02112950829702
2.8,0,59.98,83.50005,1.01787794058685,-90.71803,1.01567095800885,-0.00222,59.98042,-73.61061,2.66449635185801,-81.14159,1.0419119823441,0.00419,59.98106,118.54057,0.606611182483005,20.04937,1.0211975588663
2.833,0,59.98,83.27751,1.01716690688356,-90.94531,1.01567096011743,-0.00062,59.98137,-73.85167,2.66479501111081,-81.3674,1.04201724449374,0.0028,59.98138,118.16487,0.606073141684243,19.82438,1.02123428461897
2.867,0.01,59.982,83.06981,1.01788756126306,-91.16685,1.01570268355675,-0.00848,59.98088,-74.06186,2.66415275627906,-81.5946,1.04192665853774,0.00348,59.98182,117.75609,0.605431006363998,19.60429,1.02124609283769
2.9,0,59.98,82.88089,1.01716726541807,-91.39794,1.01563924511244,-0.01153,59.9794,-74.25434,2.66177698705681,-81.83722,1.04168988809602,0.00571,59.98193,117.28829,0.604729951871431,19.3873,1.02126311724039
2.933,0,59.981,82.64961,1.01718262264656,-91.63286,1.01564986996394,-0.00701,59.97884,-74.53706,2.65884668444801,-82.09124,1.04190167769608,0.00517,59.98175,116.88691,0.604289432461339,19.16906,1.02129954754033
2.967,0,59.98,82.39239,1.00917421640386,-91.86586,1.01558642910982,0.00233,59.98081,-74.96349,2.65787075349228,-82.32922,1.04298662659047,0.00551,59.98198,116.64109,0.604485550842229,18.95128,1.02137608058997
3,0.03,59.983,81.48307,1.01645969754844,-92.07403,1.01595623847447,0.00472,59.98215,-75.322,2.6580205611647,-82.54555,1.04384610313525,0.00721,59.98259,116.50785,0.604951167668523,18.73963,1.02145965063571
