Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
189.4,0.00508,59.99375,-47.97867,0.840562424403422,-101.30579,1.02405149728787,0,59.993,-34.86153,4.30927990298182,143.44341,1.02657118529765,0,59.993,-22.86443,2.71300374155631,147.4103,1.01803673829327
189.433,0.00438,59.99369,-47.98893,0.840306968559941,-101.38106,1.02410114760366,0,59.993,-34.93055,4.30927799079773,143.36701,1.02658178052857,0,59.993,-22.90474,2.71226282997659,147.33582,1.01808955725796
189.467,0.00229,59.99368,-48.01327,0.840139951230694,-101.45714,1.0241585843162,0,59.994,-35.01602,4.30859725326114,143.29634,1.02665563989421,0,59.993,-22.99074,2.71154115974929,147.25369,1.01815296271799
189.5,0.00397,59.99414,-48.09235,0.840332424510659,-101.52984,1.02419686640438,0,59.994,-35.08286,4.30933356364789,143.23141,1.02668743954377,0,59.993,-23.07531,2.70860529985547,147.18302,1.01818473440372
189.533,0.0058,59.99457,-48.20056,0.840830010664734,-101.59656,1.02423531090369,0,59.993,-35.14045,4.31073053363828,143.16266,1.0267085668485,0,59.993,-23.19281,2.70788578083526,147.09899,1.01826921706452
189.567,0.00468,59.99453,-48.28616,0.841192369550084,-101.66179,1.02426733150269,0,59.994,-35.20135,4.31150042675814,143.0939,1.02672969420343,0,59.993,-23.23717,2.70787490528824,147.03788,1.01831144963426
189.6,0.00584,59.99466,-48.36236,0.841426134055277,-101.72678,1.02429542265575,0,59.994,-35.27689,4.31077809921756,143.02705,1.02674015016742,0,59.993,-23.32246,2.70641220396971,146.96339,1.01835373120346
189.633,0.00773,59.99497,-48.4836,0.842048191442561,-101.78839,1.02432171056821,0,59.994,-35.34031,4.31076148711826,142.96212,1.0268036410753,0.01,59.994,-23.36264,2.70423237386109,146.90228,1.01839606332847
189.667,0.00505,59.99498,-48.63974,0.842943631399185,-101.84854,1.02433541972525,0,59.994,-35.39833,4.31078455283887,142.91056,1.02680364102509,0,59.994,-23.44861,2.70277391520101,146.83352,1.01844888229315
189.7,0.00192,59.9949,-48.78784,0.84368203323729,-101.9094,1.02433417972748,0,59.994,-35.45601,4.31147270008882,142.85134,1.02684592731351,0,59.994,-23.51155,2.70278192247189,146.76668,1.01849110959143
189.733,0.00113,59.99472,-48.91616,0.844170895051447,-101.9719,1.02432567651272,0.01,59.995,-35.49978,4.31080600515414,142.79214,1.02686691575295,0.01,59.994,-23.60513,2.70203915846383,146.70366,1.01852280115098
189.767,-0.00108,59.99448,-48.99427,0.84425013117974,-102.03712,1.02432369675354,0,59.994,-35.57621,4.31005607045574,142.72529,1.02690936234392,0,59.994,-23.66455,2.70204973523208,146.63872,1.01859682809882
189.8,-0.00329,59.99442,-49.02698,0.843820905606939,-102.10406,1.02430621323187,0.01,59.995,-35.62755,4.31077104803872,142.66991,1.02693045852194,0.01,59.995,-23.72965,2.70059396558088,146.58906,1.01867072069976
189.833,-0.00211,59.99463,-49.07744,0.843387377619931,-102.16949,1.02426411937681,0,59.995,-35.67451,4.31370511525995,142.61835,1.02695161238478,0,59.995,-23.79579,2.69913795690667,146.52221,1.01868136021093
189.867,-0.00146,59.99465,-49.13928,0.843275514850575,-102.23338,1.02422307142942,0,59.994,-35.74501,4.3143942783577,142.55913,1.02689877243467,0,59.994,-23.88892,2.69840349894825,146.4611,1.01866021101709
189.9,-0.00174,59.99443,-49.16826,0.843004821290115,-102.29925,1.02420343670065,0,59.995,-35.80316,4.31437993697701,142.49803,1.02689874125775,0,59.995,-23.97019,2.6991314435296,146.39426,1.01871310478629
189.933,0.00067,59.9946,-49.19267,0.842534005713322,-102.36519,1.02421214479945,0,59.995,-35.86845,4.31514224111626,142.44074,1.026888177756,0,59.994,-24.02377,2.70060454234914,146.35033,1.01872361547304
189.967,0.00248,59.99483,-49.2458,0.842228594060449,-102.42804,1.02421343108565,0,59.995,-35.90251,4.31658056208763,142.39107,1.02687747940531,0,59.995,-24.08519,2.6991272606269,146.28349,1.01876587555477
190,0.00078,59.99476,-49.2913,0.841915414159703,-102.49039,1.02419673416606,0,59.995,-35.96189,4.3165883303355,142.33569,1.02685631956815,0,59.995,-24.13113,2.69913915202172,146.23574,1.01878705070427
190.033,0.00025,59.99469,-49.32011,0.841463302133556,-102.55393,1.02419302361119,-0.01,59.994,-36.01182,4.31728980311834,142.27648,1.0268669416082,0.01,59.996,-24.18603,2.69840337943674,146.17653,1.01876594990745
190.067,0.00256,59.99486,-49.35917,0.841064611750467,-102.61663,1.02420438064323,0.01,59.995,-36.0749,4.31656926825034,142.21728,1.026845896237,-0.01,59.994,-24.26617,2.69839537216586,146.12496,1.01875538610447
190.1,0.00293,59.99509,-49.39757,0.840650743406151,-102.67658,1.02420892534374,0,59.995,-36.11447,4.31873266552692,142.15998,1.02681420482807,0,59.995,-24.31406,2.69838180760996,146.06194,1.01869197707992
190.133,0.00219,59.9952,-49.43042,0.840215183723546,-102.73463,1.02420113442859,0,59.994,-36.1622,4.31948977091568,142.10269,1.02677194961616,0,59.994,-24.3617,2.69839674654818,146.00655,1.01868139063477
190.167,0.00298,59.99525,-49.46989,0.839835196891102,-102.79175,1.02420072953034,0,59.994,-36.2447,4.31951223907875,142.03966,1.02674025850845,0,59.995,-24.41724,2.69913945080049,145.94543,1.01862851970857
190.2,0.00328,59.99524,-49.51136,0.839486283050146,-102.84896,1.02420985015846,0,59.995,-36.28751,4.31878871642311,141.98427,1.02672958641465,0,59.994,-24.4739,2.69910694367093,145.89387,1.01859682809882
190.233,0.00413,59.99554,-49.54608,0.83921319925957,-102.90411,1.02422796334335,0,59.995,-36.33825,4.31878937373639,141.93079,1.02668743939316,0,59.995,-24.51419,2.69986064298177,145.83085,1.01854400908393
190.267,0.00568,59.99603,-49.59372,0.839227958930527,-102.95384,1.02425168084221,0,59.995,-36.38806,4.31871079492138,141.87351,1.02667687553997,0,59.994,-24.56645,2.69986882951991,145.77928,1.01854400898352
190.3,0.00686,59.99634,-49.68201,0.839681266071732,-102.99903,1.02429763476076,0,59.994,-36.4432,4.31804565363628,141.81621,1.02669800309572,0,59.995,-24.60593,2.70204053284614,145.72772,1.01851231762479
190.333,0.00778,59.99655,-49.79875,0.840341029339071,-103.04132,1.02435496664658,0,59.994,-36.51002,4.31656078293343,141.74746,1.02667687538936,0,59.995,-24.65773,2.70277791883645,145.67615,1.01848062601504
190.367,0.00811,59.99659,-49.91582,0.840877217709494,-103.08222,1.02438601654405,0,59.995,-36.55794,4.31656855118131,141.69589,1.02665574798422,0,59.996,-24.69814,2.70350723780012,145.63031,1.01844888214254
190.4,0.00535,59.99644,-50.03003,0.841304590853957,-103.12426,1.02439311187763,0,59.995,-36.61541,4.31441011363221,141.64433,1.02664515832599,0,59.996,-24.74202,2.70351655969756,145.58257,1.01840667909297
190.433,0.00098,59.99619,-50.14631,0.841978157700208,-103.1687,1.02440757374881,0,59.995,-36.66232,4.31295028058981,141.58703,1.02662405657529,0,59.995,-24.79711,2.70713620467137,145.54054,1.01837498396892
190.467,-0.00399,59.99567,-50.24877,0.842716619294065,-103.21814,1.02440001964769,0,59.994,-36.74245,4.31147216228704,141.524,1.02661346671624,0,59.996,-24.84118,2.70932942006864,145.49089,1.0183431411436
190.5,-0.00663,59.99545,-50.32185,0.842921940060896,-103.27229,1.02436608380213,0,59.995,-36.7986,4.31219532640816,141.4667,1.02659231295381,-0.01,59.995,-24.87179,2.71008168524141,145.43551,1.01832209040054
190.533,-0.00559,59.99566,-50.39551,0.84291805593696,-103.32532,1.02434739492371,0,59.995,-36.84805,4.31001442069599,141.41895,1.02662408775221,0.01,59.996,-24.90571,2.71226922384215,145.39158,1.01833259993259
190.567,-0.00614,59.99541,-50.46963,0.84296358982064,-103.37876,1.02431914075706,0,59.994,-36.90238,4.308578669222,141.36547,1.02662394848528,0,59.996,-24.91956,2.71153870976342,145.34766,1.01834314129421
190.6,-0.0079,59.99488,-50.50832,0.842692298702651,-103.43799,1.02427154359923,0,59.995,-36.96267,4.30709822044486,141.30627,1.02661346641502,0,59.996,-24.98636,2.71444833688173,145.30182,1.01826919457296
190.633,-0.00492,59.99485,-50.55278,0.842237975713648,-103.50013,1.02422251867929,0,59.995,-37.02578,4.30564836661319,141.24898,1.0265923128534,0,59.995,-25.04534,2.71734469822291,145.24261,1.01819527471105
